Winner,Matches_Played,Total_Fours,Total_Sixes
India,154,0,0
Pakistan,140,0,0
New Zealand,110,0,0
Australia,109,0,0
South Africa,105,0,0
England,101,0,0
West Indies,89,0,0
Sri Lanka,84,0,0
Tied,82,0,0
Afghanistan,81,0,0
Ireland,66,0,0
Bangladesh,65,0,0
Uganda,61,0,0
Netherlands,53,0,0
Zimbabwe,52,0,0
Nepal,47,0,0
United Arab Emirates,45,0,0
Malaysia,43,0,0
Hong Kong,42,0,0
Kenya,41,0,0
Namibia,41,0,0
Scotland,39,0,0
Oman,36,0,0
Tanzania,33,0,0
Kuwait,32,0,0
Germany,30,0,0
Spain,29,0,0
Papua New Guinea,28,0,0
Romania,26,0,0
Canada,26,0,0
Nigeria,26,0,0
Jersey,25,0,0
Malta,23,0,0
Bahrain,23,0,0
Italy,18,0,0
Singapore,18,0,0
Japan,18,0,0
United States of America,17,0,0
Austria,16,1,0
Bermuda,16,0,0
Guernsey,16,0,0
Rwanda,15,0,0
Denmark,15,0,0
Portugal,15,0,0
Belgium,15,0,0
Czech Republic,14,0,0
Saudi Arabia,14,0,0
Qatar,14,0,0
France,14,0,0
Ghana,13,0,0
Norway,13,0,0
Indonesia,13,0,0
Luxembourg,12,0,0
Thailand,12,0,0
Switzerland,12,0,0
Vanuatu,12,0,0
Bulgaria,11,0,0
Finland,10,0,0
Isle of Man,10,0,0
Gibraltar,10,0,0
Cyprus,9,0,0
Malawi,9,0,0
Sierra Leone,9,0,0
Estonia,9,0,0
Sweden,8,0,0
Hungary,8,0,0
Botswana,8,0,0
Serbia,7,0,0
Bhutan,7,0,0
Cook Islands,7,0,0
Maldives,7,0,0
Cambodia,6,0,0
Fiji,6,0,0
Philippines,5,0,0
Mozambique,5,0,0
Croatia,4,0,0
Argentina,4,0,0
Mexico,4,0,0
Samoa,4,0,0
Cayman Islands,4,0,0
Israel,3,0,0
Seychelles,2,0,0
Lesotho,2,0,0
Panama,2,0,0
Bahamas,2,0,0
Cameroon,2,0,0
Belize,1,0,0
China,1,0,0
Gambia,1,0,0
Eswatini,1,0,0
Costa Rica,1,0,0
ICC World XI,1,0,0
Myanmar,1,0,0
Greece,1,0,0
St Helena,1,0,0
Turkey,1,0,0
